zip,irs_estimated_population,,
01583,6780,,
01585,3960,,
01586,0,,
01588,9220,,
01590,9030,,
01601,322,,
01602,20440,,
01603,17630,,
01604,31650,,
01605,22330,,
01606,18480,,
01607,7640,,
01608,3530,,
01609,12910,,
01610,16900,,
01611,2110,,
01612,4560,,
01613,1369,,
01614,68,,
01615,13,,
01653,0,,
01654,0,,
01655,0,,
01701,30790,,
01702,29090,,
01703,160,,
01704,385,,
01705,71,,
01718,650,,
01719,5260,,
01720,22680,,
01721,17920,,
01730,13920,,
01731,2270,,
01740,5800,,
01741,5250,,
01742,17740,,
01745,410,,
01746,14710,,
01747,5720,,
01748,18920,,
01749,18490,,
01752,36490,,
01754,10140,,
01756,6210,,
01757,26690,,
01760,34450,,
01770,4450,,
01772,10150,,
01773,5360,,
01775,7140,,
01776,18900,,
01778,14080,,
01784,150,,
01801,37450,,
01803,25110,,
01805,0,,
01806,0,,
01807,0,,
01808,0,,
01810,34590,,
01812,0,,
01813,0,,
01815,0,,
01821,29650,,
01822,0,,
01824,26230,,
01826,31070,,
01827,3380,,
01830,23250,,
01831,992,,
01832,22720,,
01833,8160,,
01834,6490,,
01835,13780,,
01840,5500,,
01841,47570,,
01842,1297,,
01843,25440,,
01844,49390,,
01845,28320,,
01850,14350,,
01851,28690,,
01852,29990,,
01853,1641,,
01854,20420,,
01860,6560,,
01862,10040,,
01863,8610,,
01864,15440,,
01865,397,,
01866,178,,
01867,24960,,
01876,29080,,
01879,12130,,
01880,25510,,
01885,331,,
01886,25280,,
01887,22540,,
01888,242,,
01889,0,,
01890,22230,,
01899,0,,
01901,1890,,
01902,42330,,
01903,1107,,
01904,19440,,
01905,24980,,
01906,26650,,
01907,14310,,
01908,3140,,
01910,0,,
01913,15340,,
01915,35780,,
01921,8170,,
01922,3050,,
01923,26050,,
01929,3460,,
01930,26170,,
01931,554,,
01936,361,,
01937,375,,
01938,13100,,
01940,13180,,
01944,5070,,
01945,19990,,
01949,8450,,
01950,17120,,
01951,3390,,
01952,7890,,
01960,48770,,
01961,315,,
01965,428,,
01966,6540,,
01969,5940,,
01970,36940,,
01971,356,,
01982,7180,,
01983,6310,,
01984,3720,,
01985,4510,,
02018,123,,
02019,16050,,
02020,759,,
02021,22600,,
02025,8330,,
02026,23340,,
02027,183,,
02030,6130,,
02031,0,,
02032,4850,,
02035,17670,,
02038,31730,,
02040,122,,
02041,843,,
02043,24010,,
02044,0,,
02045,9150,,
02047,649,,
02048,23210,,
02050,23380,,
02051,752,,
02052,12860,,
02053,12920,,
02054,8380,,
02055,77,,
02056,10510,,
02059,363,,
02060,237,,
02061,11240,,
02062,28070,,
02065,447,,
02066,18140,,
02067,18430,,
02070,182,,
02071,980,,
02072,27200,,
02081,19570,,
02090,16080,,
02093,11760,,
02108,3530,,
02109,3620,,
02110,3460,,
02111,5630,,
02112,574,,
02113,4680,,
02114,10670,,
02115,9000,,
02116,14280,,
02117,443,,
02118,21180,,
02119,22620,,
02120,7500,,
02121,23410,,
02122,20630,,
02123,449,,
02124,42830,,
02125,27270,,
02126,20440,,
02127,28110,,
02128,35170,,
02129,15820,,
02130,31020,,
02131,27510,,
02132,24870,,
02133,0,,
02134,12590,,
02135,29980,,
02136,31770,,
02137,180,,
02138,21100,,
02139,25670,,
02140,17380,,
02141,10300,,
02142,2630,,
02143,19850,,
02144,18390,,
02145,21810,,
02148,55580,,
02149,39480,,
02150,32310,,
02151,51810,,
02152,16160,,
02153,0,,
02155,49050,,
02156,20,,
02163,440,,
02169,51180,,
02170,18120,,
02171,17100,,
02176,27210,,
02180,21970,,
02184,36070,,
02185,257,,
02186,26490,,
02187,63,,
02188,13440,,
02189,13550,,
02190,17380,,
02191,7600,,
02196,793,,
02199,1180,,
02201,15,,
02203,0,,
02204,0,,
02205,1678,,
02206,0,,
02207,0,,
02210,5350,,
02211,0,,
02212,0,,
02215,6950,,
02216,17,,
02217,0,,
02222,0,,
02228,93,,
02238,534,,
02239,0,,
02241,0,,
02266,0,,
02269,478,,
02283,0,,
02284,0,,
02293,0,,
02295,0,,
02297,0,,
02298,0,,
02301,58790,,
02302,32830,,
02303,1583,,
02304,323,,
02305,464,,
02322,4510,,
02324,23380,,
02325,10,,
02327,613,,
02330,10600,,
02331,1883,,
02332,14860,,
02333,13730,,
02334,375,,
02337,119,,
02338,7510,,
02339,14690,,
02340,0,,
02341,10200,,
02343,10570,,
02344,0,,
02345,1470,,
02346,22720,,
02347,11400,,
02348,0,,
02349,0,,
02350,494,,
02351,15870,,
02355,409,,
02356,12060,,
02357,14,,
02358,282,,
02359,17200,,
02360,55360,,
02361,252,,
02362,981,,
02364,13120,,
02366,385,,
02367,2850,,
02368,31770,,
02370,16280,,
02375,10260,,
02379,7270,,
02381,383,,
02382,14340,,
02420,15390,,
02421,18190,,
02445,17220,,
02446,22080,,
02447,120,,
02451,15930,,
02452,10630,,
02453,23040,,
02454,543,,
02455,81,,
02456,28,,
02457,105,,
02458,11620,,
02459,17460,,
02460,8940,,
02461,7050,,
02462,1330,,
02464,2950,,
02465,11810,,
02466,6380,,
02467,14290,,
02468,5770,,
02471,273,,
02472,29920,,
02474,25900,,
02475,19,,
02476,16270,,
02477,0,,
02478,25160,,
02479,39,,
02481,14990,,
02482,10190,,
02492,21090,,
02493,10790,,
02494,10130,,
02495,30,,
02532,10570,,
02534,916,,
02535,1360,,
02536,18860,,
02537,5940,,
02538,4000,,
02539,5280,,
02540,6750,,
02541,594,,
02542,340,,
02543,740,,
02552,46,,
02553,1171,,
02554,11140,,
02556,3410,,
02557,2660,,
02558,2189,,
02559,3030,,
02561,884,,
02562,3200,,
02563,9840,,
02564,423,,
02565,0,,
02568,7570,,
02571,9660,,
02573,0,,
02574,1104,,
02575,1679,,
02576,3860,,
02584,1904,,
02601,14410,,
02630,2000,,
02631,9380,,
02632,10550,,
02633,3750,,
02634,19,,
02635,3500,,
02636,0,,
02637,564,,
02638,2840,,
02639,2870,,
02641,1542,,
02642,3980,,
02643,1113,,
02644,4160,,
02645,9650,,
02646,1940,,
02647,393,,
02648,7340,,
02649,14680,,
02650,860,,
02651,1610,,
02652,766,,
02653,5140,,
02655,3470,,
02657,3400,,
02659,1120,,
02660,5920,,
02661,365,,
02662,862,,
02663,611,,
02664,9110,,
02666,1057,,
02667,2770,,
02668,3300,,
02669,812,,
02670,1330,,
02671,1150,,
02672,577,,
02673,8180,,
02675,6270,,
02702,4120,,
02703,42350,,
02712,272,,
02713,32,,
02714,47,,
02715,3830,,
02717,4830,,
02718,6530,,
02719,14230,,
02720,25410,,
02721,21330,,
02722,738,,
02723,12290,,
02724,14160,,
02725,2360,,
02726,14830,,
02738,5230,,
02739,6470,,
02740,35150,,
02741,157,,
02742,334,,
02743,9830,,
02744,10220,,
02745,21790,,
02746,12790,,
02747,17360,,
02748,10740,,
02760,26330,,
02761,356,,
02762,9150,,
02763,2020,,
02764,4080,,
02766,16530,,
02767,14650,,
02768,502,,
02769,12310,,
02770,5720,,
02771,15090,,
02777,16070,,
02779,6490,,
02780,46120,,
02783,0,,
02790,15530,,
02791,388,,
02801,299,,
02802,770,,
02804,2710,,
02806,17070,,
02807,1213,,
02808,2150,,
02809,17160,,
02812,1350,,
02813,7540,,
02814,7100,,
02815,240,,
02816,30230,,
02817,6150,,
02818,18540,,
02822,5770,,
02823,302,,
02824,394,,
02825,5120,,
02826,880,,
02827,2220,,
02828,6740,,
02829,405,,
02830,5930,,
02831,3990,,
02832,4600,,
02833,510,,
02835,5250,,
02836,91,,
02837,3150,,
02838,3100,,
02839,1750,,
02840,17110,,
02841,353,,
02842,14680,,
02852,22290,,
02854,0,,
02857,8160,,
02858,560,,
02859,5970,,
02860,38920,,
02861,24280,,
02862,912,,
02863,16350,,
02864,33700,,
02865,17240,,
02871,16510,,
02872,160,,
02873,301,,
02874,5890,,
02875,400,,
02876,1050,,
02877,106,,
02878,14830,,
02879,18700,,
02880,684,,
02881,1920,,
02882,9960,,
02883,217,,
02885,9800,,
02886,26000,,
02887,344,,
02888,18050,,
02889,25610,,
02891,19560,,
02892,5130,,
02893,26480,,
02894,770,,
02895,34530,,
02896,9960,,
02898,2010,,
02901,299,,
02902,69,,
02903,6070,,
02904,25940,,
02905,23450,,
02906,19440,,
02907,26430,,
02908,31380,,
02909,38080,,
02910,20320,,
02911,14030,,
02912,375,,
02914,18470,,
02915,14670,,
02916,7540,,
02917,11140,,
02918,36,,
02919,27020,,
02920,32250,,
02921,11920,,
02940,1143,,
03031,11960,,
03032,5930,,
03033,5690,,
03034,4120,,
03036,5270,,
03037,4670,,
03038,32000,,
03040,25,,
03041,256,,
03042,6720,,
03043,1550,,
03044,4630,,
03045,12990,,
03046,2960,,
03047,1560,,
03048,3050,,
03049,8550,,
03051,24160,,
03052,8330,,
03053,25500,,
03054,26590,,
03055,14900,,
03057,2740,,
03060,25760,,
03061,931,,
03062,27220,,
03063,14820,,
03064,13640,,
03070,6050,,
03071,5210,,
03073,396,,
03076,13850,,
03077,10210,,
03079,28670,,
03082,1540,,
03084,1250,,
03086,3900,,
03087,15910,,
03101,2730,,
03102,26980,,
03103,32370,,
03104,28480,,
03105,670,,
03106,13850,,
03107,0,,
03108,936,,
03109,10250,,
03110,22830,,
03111,0,,
03215,314,,
03216,2090,,
03217,1940,,
03218,1120,,
03220,6790,,
03221,2070,,
03222,5330,,
03223,3850,,
03224,2350,,
03225,3650,,
03226,1830,,
03227,980,,
03229,6020,,
03230,1200,,
03231,328,,
03233,340,,
03234,4610,,
03235,7640,,
03237,2490,,
03238,153,,
03240,1180,,
03241,850,,
03242,3920,,
03243,920,,
03244,7250,,
03245,1800,,
03246,13910,,
03247,1611,,
03249,6940,,
03251,1540,,
03252,205,,
03253,6260,,
03254,4230,,
03255,2000,,
03256,2220,,
03257,4210,,
03258,2620,,
03259,320,,
03260,633,,
03261,4370,,
03262,1160,,
03263,3750,,
03264,4370,,
03266,1910,,
03268,1230,,
03269,2920,,
03272,34,,
03273,300,,
03274,0,,
03275,11000,,
03276,7660,,
03278,2920,,
03279,650,,
03280,1160,,
03281,8830,,
03282,880,,
03284,820,,
03285,1590,,
03287,1270,,
03289,444,,
03290,5060,,
03291,180,,
03293,189,,
03298,0,,
03299,0,,
03301,27210,,
03302,1295,,
03303,14020,,
03304,8150,,
03305,0,,
03307,5490,,
03431,19960,,
03435,11,,
03440,2550,,
03441,350,,
03442,1290,,
03443,720,,
03444,1530,,
03445,700,,
03446,5630,,
03447,2230,,
03448,720,,
03449,1720,,
03450,930,,
03451,3500,,
03452,5060,,
03455,1980,,
03456,720,,
03457,680,,
03458,6360,,
03461,5380,,
03462,1600,,
03464,1110,,
03465,1960,,
03466,1230,,
03467,1530,,
03468,214,,
03469,902,,
03470,4320,,
03561,5500,,
03570,6950,,
03574,2410,,
03575,123,,
03576,2580,,
03579,340,,
03580,1370,,
03581,2800,,
03582,2070,,
03583,990,,
03584,3100,,
03585,2420,,
03586,520,,
03588,1430,,
03589,0,,
03590,740,,
03592,900,,
03593,300,,
03595,637,,
03597,647,,
03598,3080,,
03601,450,,
03602,2410,,
03603,4600,,
03604,177,,
03605,910,,
03607,190,,
03608,2620,,
03609,690,,
03740,1010,,
03741,3790,,
03743,11300,,
03745,1170,,
03746,501,,
03748,4230,,
03749,209,,
03750,1060,,
03751,538,,
03752,760,,
03753,3670,,
03754,213,,
03755,6210,,
03756,0,,
03765,440,,
03766,8750,,
03768,1620,,
03769,118,,
03770,660,,
03771,800,,
03773,6760,,
03774,1600,,
03777,1170,,
03779,690,,
03780,380,,
03781,1630,,
03782,3020,,
03784,3630,,
03785,1840,,
03801,20600,,
03802,1102,,
03803,0,,
03804,93,,
03805,0,,
03809,3770,,
03810,1850,,
03811,7160,,
03812,560,,
03813,3000,,
03814,2120,,
03815,111,,
03816,1160,,
03817,620,,
03818,3640,,
03819,4160,,
03820,28750,,
03821,849,,
03822,0,,
03823,1880,,
03824,6050,,
03825,9210,,
03826,2720,,
03827,3200,,
03830,1530,,
03832,308,,
03833,21430,,
03835,6030,,
03836,1420,,
03837,1330,,
03838,1290,,
03839,3850,,
03840,4180,,
03841,6290,,
03842,15040,,
03843,998,,
03844,2460,,
03845,1180,,
03846,920,,
03847,345,,
03848,5890,,
03849,1260,,
03850,550,,
03851,3850,,
03852,600,,
03853,610,,
03854,1012,,
03855,2650,,
03856,1820,,
03857,8580,,
03858,4630,,
03859,241,,
03860,3920,,
03861,4290,,
03862,4530,,
03864,1630,,
03865,7620,,
03866,1032,,
03867,19170,,
03868,5600,,
03869,2430,,
03870,4960,,
03871,571,,
03872,3910,,
03873,6460,,
03874,8380,,
03875,860,,
03878,10990,,
03882,1350,,
03883,180,,
03884,4150,,
03885,7930,,
03886,1510,,
03887,2060,,
03890,770,,
03894,5720,,
03896,1311,,
03897,56,,
03901,7480,,
03902,2280,,
03903,6380,,
03904,7350,,
03905,1740,,
03906,4900,,
03907,1390,,
03908,7060,,
03909,9520,,
03910,1334,,
03911,756,,
04001,2480,,
04002,7110,,
04003,300,,
04004,618,,
04005,20070,,
04006,214,,
04007,61,,
04008,2950,,
04009,4670,,
04010,1500,,
04011,18500,,
04013,0,,
04014,391,,
04015,3160,,
04016,172,,
04017,390,,
04019,51,,
04020,1410,,
04021,6820,,
04022,1100,,
04024,540,,
04027,5860,,
04028,102,,
04029,1890,,
04030,2030,,
04032,7900,,
04033,0,,
04034,0,,
04037,3320,,
04038,16630,,
04039,7810,,
04040,2660,,
04041,1390,,
04042,4510,,
04043,10950,,
04046,7440,,
04047,1840,,
04048,2980,,
04049,3590,,
04050,220,,
04051,990,,
04054,664,,
04055,3900,,
04056,269,,
04057,313,,
04061,3320,,
04062,17760,,
04063,451,,
04064,7790,,
04066,570,,
04068,1210,,
04069,1580,,
04070,1320,,
04071,4820,,
04072,19060,,
04073,14990,,
04074,20620,,
04075,0,,
04076,2620,,
04077,583,,
04078,562,,
04079,3790,,
04082,133,,
04083,4220,,
04084,7300,,
04085,1860,,
04086,9190,,
04087,2370,,
04088,1310,,
04090,11020,,
04091,910,,
04092,17310,,
04093,7580,,
04094,565,,
04095,1250,,
04096,9050,,
04097,4140,,
04098,665,,
04101,13290,,
04102,14500,,
04103,26750,,
04104,2334,,
04105,12330,,
04106,23470,,
04107,9340,,
04108,890,,
04109,55,,
04110,1650,,
04112,904,,
04116,332,,
04122,0,,
04123,0,,
04124,0,,
04210,19180,,
04211,614,,
04212,665,,
04216,580,,
04217,3040,,
04219,1340,,
04220,2890,,
04221,810,,
04222,4090,,
04223,104,,
04224,2320,,
04225,215,,
04226,179,,
04227,250,,
04228,102,,
04230,152,,
04231,230,,
04234,361,,
04236,4060,,
04237,280,,
04238,1210,,
04239,4120,,
04240,28260,,
04241,568,,
04243,1083,,
04250,4140,,
04252,4380,,
04253,1950,,
04254,2530,,
04255,700,,
04256,2710,,
04257,2020,,
04258,2720,,
04259,2920,,
04260,5480,,
04261,420,,
04262,81,,
04263,2040,,
04265,830,,
04266,368,,
04267,121,,
04268,4340,,
04270,5520,,
04271,182,,
04274,5200,,
04275,420,,
04276,4450,,
04280,6340,,
04281,4250,,
04282,5370,,
04284,1170,,
04285,360,,
04286,111,,
04287,2890,,
04288,50,,
04289,1610,,
04290,1340,,
04291,226,,
04292,840,,
04294,3190,,
04330,22170,,
04332,964,,
04333,637,,
04336,0,,
04338,228,,
04341,320,,
04342,1510,,
04343,354,,
04344,2700,,
04345,10990,,
04346,1480,,
04347,2410,,
04348,2940,,
04349,1240,,
04350,3320,,
04351,2510,,
04352,1570,,
04353,2030,,
04354,1450,,
04355,2550,,
04357,3260,,
04358,3890,,
04359,538,,
04360,560,,
04363,2400,,
04364,5570,,
04401,36140,,
04402,1831,,
04406,600,,
04408,200,,
04410,1070,,
04411,1360,,
04412,8520,,
04413,192,,
04414,1090,,
04415,337,,
04416,4900,,
04417,320,,
04418,1370,,
04419,2700,,
04420,14,,
04421,570,,
04422,1040,,
04424,650,,
04426,4000,,
04427,2660,,
04428,2740,,
04429,4640,,
04430,1190,,
04431,342,,
04434,1120,,
04435,810,,
04438,1050,,
04441,1280,,
04442,509,,
04443,1870,,
04444,8920,,
04448,1070,,
04449,1280,,
04450,1180,,
04451,256,,
04453,630,,
04454,66,,
04455,780,,
04456,2750,,
04457,4910,,
04459,520,,
04460,990,,
04461,2620,,
04462,3470,,
04463,2350,,
04464,540,,
04467,0,,
04468,7150,,
04469,100,,
04471,430,,
04472,1800,,
04473,4400,,
04474,3660,,
04475,300,,
04476,990,,
04478,270,,
04479,1030,,
04481,560,,
04485,124,,
04487,580,,
04488,1150,,
04489,468,,
04490,210,,
04491,176,,
04492,141,,
04493,1640,,
04495,340,,
04496,3460,,
04497,260,,
04530,9890,,
04535,730,,
04537,1910,,
04538,1670,,
04539,1150,,
04541,75,,
04543,2100,,
04544,690,,
04547,1130,,
04548,1000,,
04549,0,,
04551,670,,
04553,1920,,
04554,710,,
04555,1790,,
04556,1180,,
04558,260,,
04562,1990,,
04563,1330,,
04564,490,,
04565,162,,
04568,360,,
04570,0,,
04571,290,,
04572,4650,,
04573,470,,
04574,1330,,
04575,260,,
04576,500,,
04578,4020,,
04579,3020,,
04605,12440,,
04606,1010,,
04607,970,,
04609,4350,,
04611,585,,
04612,430,,
04613,210,,
04614,2720,,
04616,760,,
04617,680,,
04619,2610,,
04622,1050,,
04623,850,,
04624,159,,
04625,49,,
04626,460,,
04627,1560,,
04628,510,,
04629,56,,
04630,1320,,
04631,1000,,
04634,1670,,
04635,64,,
04637,136,,
04640,2180,,
04642,143,,
04643,880,,
04644,330,,
04645,65,,
04646,92,,
04648,560,,
04649,1050,,
04650,230,,
04652,1270,,
04653,510,,
04654,2580,,
04655,810,,
04657,240,,
04658,1330,,
04660,1390,,
04662,518,,
04664,1040,,
04666,1050,,
04667,1200,,
04668,1390,,
04669,250,,
04671,500,,
04672,159,,
04673,107,,
04674,350,,
04675,276,,
04676,890,,
04677,240,,
04679,1740,,
04680,990,,
04681,990,,
04683,132,,
04684,1490,,
04685,310,,
04686,108,,
04691,360,,
04693,430,,
04694,1950,,
04730,8190,,
04732,1390,,
04733,210,,
04734,570,,
04735,430,,
04736,7650,,
04737,0,,
04738,148,,
04739,710,,
04740,1090,,
04741,0,,
04742,2820,,
04743,3660,,
04744,351,,
04745,910,,
04746,320,,
04747,1000,,
04750,1450,,
04751,0,,
04756,2540,,
04757,2460,,
04758,1280,,
04760,670,,
04761,470,,
04762,520,,
04763,590,,
04764,56,,
04765,930,,
04766,300,,
04768,310,,
04769,7630,,
04772,590,,
04773,620,,
04774,450,,
04775,32,,
04776,680,,
04777,270,,
04779,350,,
04780,590,,
04781,490,,
04783,380,,
04785,1630,,
04786,1500,,
04787,340,,
04841,6010,,
04843,4710,,
04846,158,,
04847,1530,,
04848,560,,
04849,3530,,
04850,181,,
04851,49,,
04852,67,,
04853,390,,
04854,1350,,
04855,294,,
04856,3620,,
04858,1350,,
04859,640,,
04860,1460,,
04861,2470,,
04862,3490,,
04863,1100,,
04864,3860,,
04865,301,,
04901,20120,,
04903,1125,,
04910,1820,,
04911,1690,,
04912,850,,
04915,7610,,
04917,2920,,
04918,390,,
04920,1250,,
04921,1420,,
04922,940,,
04923,360,,
04924,1920,,
04925,71,,
04926,498,,
04927,3020,,
04928,1880,,
04929,710,,
04930,3370,,
04932,1090,,
04933,118,,
04935,136,,
04936,200,,
04937,5450,,
04938,6810,,
04939,920,,
04940,284,,
04941,1540,,
04942,890,,
04943,1490,,
04944,131,,
04945,1050,,
04947,1560,,
04949,930,,
04950,3730,,
04951,810,,
04952,1810,,
04953,2690,,
04954,147,,
04955,1400,,
04956,670,,
04957,3510,,
04958,1620,,
04961,770,,
04962,392,,
04963,6530,,
04964,268,,
04965,1680,,
04966,1340,,
04967,3400,,
04969,1160,,
04970,1440,,
04971,1730,,
04972,57,,
04973,1300,,
04974,2410,,
04975,280,,
04976,8020,,
04978,860,,
04979,860,,
04981,2010,,
04982,630,,
04983,1450,,
04984,460,,
04985,116,,
04986,1350,,
04987,860,,
04988,1520,,
04989,3940,,
04992,603,,
05001,6610,,
05009,0,,
05030,792,,
05031,418,,
05032,2220,,
05033,2700,,
05034,300,,
05035,540,,
05036,830,,
05037,820,,
05038,1210,,
05039,800,,
05040,550,,
05041,290,,
05042,530,,
05043,830,,
05045,1280,,
05046,1130,,
05047,778,,
05048,2350,,
05049,168,,
05050,163,,
05051,920,,
05052,330,,
05053,280,,
05054,145,,
05055,3420,,
05056,310,,
05058,350,,
05059,1420,,
05060,4250,,
05061,1320,,
05062,630,,
05065,1140,,
05067,240,,
05068,2680,,
05069,570,,
05070,560,,
05071,280,,
05072,380,,
05073,131,,
05074,234,,
05075,1210,,
05076,480,,
05077,1010,,
05079,600,,
05081,750,,
05083,220,,
05084,210,,
05085,186,,
05086,690,,
05088,1399,,
05089,3780,,
05091,3050,,
05101,3420,,
05141,154,,
05142,620,,
05143,4070,,
05144,0,,
05146,520,,
05148,1250,,
05149,1940,,
05150,870,,
05151,1210,,
05152,390,,
05153,700,,
05154,750,,
05155,920,,
05156,7550,,
05158,2150,,
05159,272,,
05161,580,,
05201,12390,,
05250,3180,,
05251,1330,,
05252,340,,
05253,580,,
05254,926,,
05255,3800,,
05257,2260,,
05260,340,,
05261,2180,,
05262,2230,,
05301,12620,,
05302,797,,
05303,487,,
05304,141,,
05340,890,,
05341,370,,
05342,590,,
