Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,zip,derm_provider_count,irs_estimated_population,derm_to_pop_ratio,derm_to_pop_percent
West Harrison,NY,10604.0,2,10790.0,0.00018535681186283596,0.018535681186283594
White Plains,NY,10604.0,3,10790.0,0.0002780352177942539,0.027803521779425393
White Plains,NY,10605.0,3,18180.0,0.00016501650165016502,0.0165016501650165
Yonkers,NY,10701.0,1,57330.0,1.7442874585731727e-05,0.0017442874585731727
Tuckahoe,NY,10707.0,1,9470.0,0.00010559662090813094,0.010559662090813094
Bronxville,NY,10708.0,1,19890.0,5.0276520864756156e-05,0.005027652086475615
Yonkers,NY,10710.0,2,24550.0,8.146639511201629e-05,0.008146639511201629
New Rochelle,NY,10804.0,1,14250.0,7.017543859649122e-05,0.007017543859649122
Middletown,NY,10941.0,7,13300.0,0.0005263157894736842,0.05263157894736842
Monroe,NY,10950.0,4,56250.0,7.11111111111111e-05,0.007111111111111111
Monsey,NY,10952.0,1,46770.0,2.138122728244601e-05,0.002138122728244601
New City,NY,10956.0,2,32110.0,6.228589224540641e-05,0.006228589224540642
Nyack,NY,10960.0,1,12880.0,7.763975155279503e-05,0.007763975155279503
Orangeburg,NY,10962.0,6,4860.0,0.0012345679012345679,0.12345679012345678
Pomona,NY,10970.0,1,10830.0,9.233610341643582e-05,0.009233610341643581
West Nyack,NY,10994.0,3,7430.0,0.0004037685060565276,0.04037685060565276
Franklin Square,NY,11010.0,1,23700.0,4.219409282700422e-05,0.004219409282700422
Great Neck,NY,11021.0,7,17300.0,0.0004046242774566474,0.04046242774566474
Great Neck,NY,11023.0,3,9040.0,0.000331858407079646,0.0331858407079646
Manhasset,NY,11030.0,6,17650.0,0.00033994334277620395,0.03399433427762039
Hew Hyde Park,NY,11040.0,1,42700.0,2.34192037470726e-05,0.00234192037470726
New Hyde Park,NY,11040.0,1,42700.0,2.34192037470726e-05,0.00234192037470726
Lake Success,NY,11042.0,1,580.0,0.0017241379310344827,0.1724137931034483
New Hyde Park,NY,11042.0,12,580.0,0.020689655172413793,2.0689655172413794
North New Hyde Park,NY,11042.0,1,580.0,0.0017241379310344827,0.1724137931034483
Inwood,NY,11096.0,1,8420.0,0.00011876484560570071,0.011876484560570071
Astoria,NY,11102.0,1,29500.0,3.389830508474576e-05,0.003389830508474576
Astoria,NY,11105.0,2,30800.0,6.493506493506494e-05,0.006493506493506494
Brooklyn,NY,11201.0,3,51620.0,5.81170089112747e-05,0.00581170089112747
Brooklyn,NY,11203.0,8,61870.0,0.00012930337805075158,0.012930337805075158
Brooklyn,NY,11205.0,1,38560.0,2.5933609958506223e-05,0.0025933609958506223
Brooklyn,NY,11206.0,2,70110.0,2.8526601055484238e-05,0.0028526601055484237
Brooklyn,NY,11209.0,8,60160.0,0.00013297872340425532,0.013297872340425532
Brooklyn,NY,11211.0,1,52840.0,1.8925056775170325e-05,0.0018925056775170325
Brooklyn,NY,11214.0,1,81710.0,1.2238404112103781e-05,0.0012238404112103782
Brooklyn,NY,11215.0,1,55150.0,1.813236627379873e-05,0.001813236627379873
Brooklyn,NY,11219.0,5,92020.0,5.433601391001956e-05,0.005433601391001956
Brooklyn,NY,11220.0,1,103030.0,9.70591089973794e-06,0.000970591089973794
Brooklyn,NY,11223.0,2,66730.0,2.9971527049303162e-05,0.0029971527049303163
Brooklyn,NY,11229.0,4,71860.0,5.566379070414695e-05,0.0055663790704146955
Brooklyn,NY,11230.0,5,77330.0,6.46579593948015e-05,0.006465795939480151
Brooklyn,NY,11231.0,1,29250.0,3.418803418803419e-05,0.0034188034188034192
Brooklyn,NY,11234.0,1,77650.0,1.28783000643915e-05,0.00128783000643915
Brooklyn,NY,11235.0,8,72550.0,0.00011026878015161957,0.011026878015161957
Brooklyn,NY,11236.0,1,79730.0,1.2542330364981813e-05,0.0012542330364981814
Brooklyn,NY,11238.0,1,46700.0,2.1413276231263384e-05,0.0021413276231263384
Brooklyn,NY,11242.0,1,43.0,0.023255813953488372,2.3255813953488373
Flushing,NY,11354.0,10,54420.0,0.00018375597206909226,0.018375597206909226
Flushing,NY,11355.0,3,91180.0,3.290195218249616e-05,0.0032901952182496164
Bayside,NY,11360.0,2,17170.0,0.00011648223645894001,0.011648223645894
Bayside,NY,11361.0,1,25770.0,3.8804811796662786e-05,0.0038804811796662787
Douglaston,NY,11362.0,2,16410.0,0.0001218769043266301,0.012187690432663009
Hollis Hills,NY,11364.0,1,33800.0,2.9585798816568047e-05,0.0029585798816568047
Fresh Meadows,NY,11365.0,10,41630.0,0.00024021138601969732,0.024021138601969732
Fresh Meadows,NY,11366.0,1,13000.0,7.692307692307693e-05,0.007692307692307693
Jackson Heights,NY,11372.0,1,61620.0,1.6228497241155468e-05,0.0016228497241155468
Elmhurst,NY,11373.0,7,94740.0,7.388642600802195e-05,0.007388642600802195
Rego Park,NY,11374.0,1,40240.0,2.485089463220676e-05,0.002485089463220676
Forest Hills,NY,11375.0,6,60790.0,9.870044415199868e-05,0.009870044415199869
Middle Village,NY,11379.0,2,32780.0,6.101281269066504e-05,0.006101281269066504
Glendale,NY,11385.0,1,85710.0,1.1667250029168126e-05,0.0011667250029168126
Jamaica,NY,11418.0,1,33930.0,2.9472443265546713e-05,0.0029472443265546712
Mineola,NY,11501.0,3,19580.0,0.00015321756894790602,0.015321756894790602
Garden City,NY,11530.0,8,28440.0,0.00028129395218002813,0.02812939521800281
Glen Cove,NY,11542.0,2,24500.0,8.163265306122449e-05,0.00816326530612245
Greenvale,NY,11548.0,3,1250.0,0.0024,0.24
East Meadow,NY,11554.0,2,37060.0,5.3966540744738264e-05,0.005396654074473826
Hewlett,NY,11557.0,3,7960.0,0.00037688442211055275,0.03768844221105527
Lawrence,NY,11559.0,2,7710.0,0.00025940337224383917,0.02594033722438392
Long Beach,NY,11561.0,4,30790.0,0.00012991230919129587,0.012991230919129588
